;Descripción ;Código;$ Instalacion;$ Abono;$ A. Riesgo;Observaciones
104;BALUN PAR;BALUN;$                                              -;-;Por cada camara se instalan un par.;
105;DISCO RIGIDO 1TERABYTE;DR500GB;4200;-;Cargar solo por reemplazo, no se pueden vender como adicional;
106;MUDANZA DVR;MUDANZA DVR;4180;-;;
107;MUDANZA POR ELEMENTO;MUDEL CAMARAS;1375;-;;
108;CORRIMIENTO DE DVR;;3575;-;;
109;CORRIMIENTO CÁMARA;;1485;-;;
110;CONVERSOR VGA;CONVERSOR VGA;2050;-;Solo por recomendación técnica;
111;CAMBIO DE CHASIS DVR;CC2-8/ CC16 o CC8-16;5610;-;;
112;CAJA FUERTE ABULONADA (incluye 1T, 1 DS y 2M);CAF;16400;-;Ocupa 3 zonas de la central. Sólo Vista 48 y NX 8.;
113;CAJA FUERTECON  BUZÓN  (incluye 1T, 1 DS y 2M);CAFB;16400;-;;
114;MUDANZA;MUDANZA CAJA FUERTE;4510;-;;
115;CORRIMIENTO;CORRIMIENTO CAJA FUERTE;3245;-;;
116;KIT DE LOCALIZACIÓN  VEHICULAR;AP GPS;8280;-;;
117;MUDANZA / CAMBIO DE VEHICULO;MUDANZA VEHICULO;4600;-;;
118;CHASIS (Panel, Fuente, Teclado, Sirenta Interna, GPRS);CIINC20;40100;-;;
119;DETECTOR DE HUMO;H;4750;62,5;;
120;PULSADORES  INCENDIO;IP;4550;62,5;;
121;SIRENA INTERNA INCENDIO;IS;6600;-;;
122;SIRENA EXTERNA INCENDIO;IE;7200;-;;
123;1 A 3 DÍAS;AUTOE3;100100;-;;
124;1 SEMANA;AUTOE1S;223300;-;;
125;SERVICE;;2420;-;;
126;VISITA AMPLIACION;;1980;-;;
127;SERVICE REMOTO;;1320;-;;
128;CORRIMIENTO POR ELEMENTO;;2420;-;;
129;SOLICITUD DE GRABACIONES;GRABACION EOH;1320;-;;
130;SIRENA EXTERNA;SE;3400;-;Valor para ampliacion;
131;PLACA CONTROLADORA;CONT ACC;$                                              -;-;Una por puerta;
132;PLACA DE EXPANSION;EXP ACC;$                                              -;-;"Anexar a partir de 6 puertas o mas, siempre va 1 controladora + N expansoras (N=q
puertas)";
133;LECTORA;LEC ACC;7500;-;sin excepcion instalar 2 por puerta;
134;FUENTE;FUENTE ACC;$                                              -;-;Una hasta 4 controladoras + expansoras;
135;BATERIA;B;$                                              -;-;Una hasta 4 controladoras + expansoras;
136;CERRADURA;CERR ACC;$                                              -;-;Una por puerta;
137;HERRAJES;HERRAJE ACC;$                                              -;-;Una por puerta;
138;DESTRABA PESTILLO;DPEST ACC;3100;-;Una por puerta;
139;MAGNETICO DE BORNERA INICIAL;MX;$                                              -;-;Una por puerta;
140;BOTON SALIDA;BSALIDA ACC;2900;-;Una por Puerta ppal;
141;TAG CONTROL ACCESO;TAG ACC;200;-;2 TAG gratis por UF + 5 gratis para Administracion, adicionales con costo;
142;CONTACTO MAGNETICO CONTROL DE ACCESO;CM ACC;$                                              -;-;Uno por Mx= 1 por puerta;
143;CAJA ESTANCO BOTON EMERGENCIA CONTROL ACCESO;GA 8;$                                              -;-;Uno por Boton Salida;
144;CAJA ESTANCO LECTORA CONTROL ACCESO;GA 12;$                                              -;-;Uno por lectora;
145;ENVIO TAG;ENV TAG;1000;-;Costo por envio de tags;
146;PUERTA DE MAXIMA SEGURIDAD;;21000;-;2 LEC ACC + 1 DPEST ACC + 1 BSALIDA ACC;
147;PUERTA DE MEDIA SEGURIDAD;;18100;-;2 LEC ACC + 1 DPEST ACC;
148;PUERTA DE BAJA SEGURIDAD;;15000;-;2 LEC ACC;
